+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  0 |       NEW |     READY |
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |       NEW |     READY |
|                 0 |  3 |       NEW |     READY |
|                 0 |  4 |       NEW |     READY |
|                 0 |  0 |     READY |   RUNNING |
|               100 |  0 |   RUNNING |     READY |
|               100 |  0 |     READY |   RUNNING |
|               200 |  0 |   RUNNING |     READY |
|               200 |  0 |     READY |   RUNNING |
|               300 |  0 |   RUNNING |     READY |
|               300 |  0 |     READY |   RUNNING |
|               400 |  0 |   RUNNING |     READY |
|               400 |  0 |     READY |   RUNNING |
|               500 |  0 |   RUNNING |     READY |
|               500 |  0 |     READY |   RUNNING |
|               600 |  0 |   RUNNING |     READY |
|               600 |  0 |     READY |   RUNNING |
|               700 |  0 |   RUNNING |TERMINATED |
|               700 |  5 |       NEW |     READY |
|               700 |  1 |     READY |   RUNNING |
|               800 |  1 |   RUNNING |     READY |
|               800 |  1 |     READY |   RUNNING |
|               900 |  1 |   RUNNING |     READY |
|               900 |  1 |     READY |   RUNNING |
|              1000 |  1 |   RUNNING |     READY |
|              1000 |  1 |     READY |   RUNNING |
|              1100 |  1 |   RUNNING |     READY |
|              1100 |  1 |     READY |   RUNNING |
|              1200 |  1 |   RUNNING |TERMINATED |
|              1200 |  2 |     READY |   RUNNING |
|              1300 |  2 |   RUNNING |     READY |
|              1300 |  2 |     READY |   RUNNING |
|              1400 |  2 |   RUNNING |     READY |
|              1400 |  2 |     READY |   RUNNING |
|              1500 |  2 |   RUNNING |     READY |
|              1500 |  2 |     READY |   RUNNING |
|              1600 |  2 |   RUNNING |     READY |
|              1600 |  2 |     READY |   RUNNING |
|              1700 |  2 |   RUNNING |     READY |
|              1700 |  2 |     READY |   RUNNING |
|              1800 |  2 |   RUNNING |TERMINATED |
|              1800 |  3 |     READY |   RUNNING |
|              1900 |  3 |   RUNNING |     READY |
|              1900 |  3 |     READY |   RUNNING |
|              2000 |  3 |   RUNNING |     READY |
|              2000 |  3 |     READY |   RUNNING |
|              2100 |  3 |   RUNNING |     READY |
|              2100 |  3 |     READY |   RUNNING |
|              2200 |  3 |   RUNNING |TERMINATED |
|              2200 |  4 |     READY |   RUNNING |
|              2300 |  4 |   RUNNING |     READY |
|              2300 |  4 |     READY |   RUNNING |
|              2400 |  4 |   RUNNING |     READY |
|              2400 |  4 |     READY |   RUNNING |
|              2500 |  4 |   RUNNING |     READY |
|              2500 |  4 |     READY |   RUNNING |
|              2600 |  4 |   RUNNING |     READY |
|              2600 |  4 |     READY |   RUNNING |
|              2700 |  4 |   RUNNING |     READY |
|              2700 |  4 |     READY |   RUNNING |
|              2800 |  4 |   RUNNING |     READY |
|              2800 |  4 |     READY |   RUNNING |
|              2900 |  4 |   RUNNING |     READY |
|              2900 |  4 |     READY |   RUNNING |
|              3000 |  4 |   RUNNING |TERMINATED |
|              3000 |  5 |     READY |   RUNNING |
|              3100 |  5 |   RUNNING |     READY |
|              3100 |  5 |     READY |   RUNNING |
|              3200 |  5 |   RUNNING |     READY |
|              3200 |  5 |     READY |   RUNNING |
|              3300 |  5 |   RUNNING |TERMINATED |
+------------------------------------------------+
