+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  0 |       NEW |     READY |
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |       NEW |     READY |
|                 0 |  3 |       NEW |     READY |
|                 0 |  4 |       NEW |     READY |
|                 0 |  0 |     READY |   RUNNING |
|               100 |  0 |   RUNNING |     READY |
|               100 |  1 |     READY |   RUNNING |
|               200 |  1 |   RUNNING |     READY |
|               200 |  2 |     READY |   RUNNING |
|               300 |  2 |   RUNNING |     READY |
|               300 |  3 |     READY |   RUNNING |
|               400 |  3 |   RUNNING |     READY |
|               400 |  4 |     READY |   RUNNING |
|               500 |  4 |   RUNNING |     READY |
|               500 |  0 |     READY |   RUNNING |
|               600 |  0 |   RUNNING |     READY |
|               600 |  1 |     READY |   RUNNING |
|               700 |  1 |   RUNNING |   WAITING |
|               700 |  2 |     READY |   RUNNING |
|               800 |  2 |   RUNNING |     READY |
|               800 |  1 |   WAITING |     READY |
|               800 |  3 |     READY |   RUNNING |
|               900 |  3 |   RUNNING |   WAITING |
|               900 |  4 |     READY |   RUNNING |
|              1000 |  4 |   RUNNING |     READY |
|              1000 |  3 |   WAITING |     READY |
|              1000 |  0 |     READY |   RUNNING |
|              1100 |  0 |   RUNNING |   WAITING |
|              1100 |  2 |     READY |   RUNNING |
|              1200 |  2 |   RUNNING |     READY |
|              1200 |  0 |   WAITING |     READY |
|              1200 |  1 |     READY |   RUNNING |
|              1300 |  1 |   RUNNING |TERMINATED |
|              1300 |  5 |       NEW |     READY |
|              1300 |  4 |     READY |   RUNNING |
|              1400 |  4 |   RUNNING |TERMINATED |
|              1400 |  3 |     READY |   RUNNING |
|              1500 |  3 |   RUNNING |     READY |
|              1500 |  2 |     READY |   RUNNING |
|              1600 |  2 |   RUNNING |   WAITING |
|              1600 |  0 |     READY |   RUNNING |
|              1700 |  0 |   RUNNING |TERMINATED |
|              1700 |  2 |   WAITING |     READY |
|              1700 |  5 |     READY |   RUNNING |
|              1800 |  5 |   RUNNING |     READY |
|              1800 |  3 |     READY |   RUNNING |
|              1900 |  3 |   RUNNING |   WAITING |
|              1900 |  2 |     READY |   RUNNING |
|              2000 |  2 |   RUNNING |TERMINATED |
|              2000 |  3 |   WAITING |     READY |
|              2000 |  5 |     READY |   RUNNING |
|              2100 |  5 |   RUNNING |     READY |
|              2100 |  3 |     READY |   RUNNING |
|              2200 |  3 |   RUNNING |TERMINATED |
|              2200 |  5 |     READY |   RUNNING |
|              2300 |  5 |   RUNNING |   WAITING |
|              2400 |  5 |   WAITING |     READY |
|              2400 |  5 |     READY |   RUNNING |
|              2500 |  5 |   RUNNING |TERMINATED |
+------------------------------------------------+
